destination,market_segment_2023,score_2023,rank_2023,market_segment_2024_pred,score_2024,rank_2024,export_2024,growth_2024,momentum_2024,score_change,rank_improvement
Br. Virgin Isds,低活跃回落市场,9.320512820512818,196,常规培育市场,17.5,188,206636.0,-0.9181063877410243,0.29936700284558354,8.179487179487182,8
Brunei Darussalam,低基数暴增市场,37.56410256410256,150,低基数暴增市场,18.979591836734695,186,421916.0,-0.7847358938650069,-0.7876354535025929,-18.584510727367867,-36
Bulgaria,低基数暴增市场,45.02564102564102,124,边缘脉冲市场,60.00000000000001,70,68850612.0,-0.13965579763585317,0.7389197934798314,14.974358974358985,54
Myanmar,边缘脉冲市场,70.0,17,边缘脉冲市场,61.224489795918366,64,102955104.0,0.36992359032691186,-0.32547099364787196,-8.775510204081634,-47
Burundi,低活跃回落市场,40.53846153846154,143,常规培育市场,22.98469387755102,181,235966.0,-1.6830914318944596,0.7833501436647653,-17.55376766091052,-38
Belarus,成熟核心市场,62.87179487179486,47,低基数暴增市场,46.505102040816325,121,14252727.0,0.24975745743651778,-0.21942986770180892,-16.366692830978536,-74
Cambodia,低基数暴增市场,52.69230769230769,96,成熟核心市场,68.75,25,21986196.0,0.7290468299938514,0.9145532951675679,16.057692307692307,71
Cameroon,成熟核心市场,67.17948717948718,26,成熟核心市场,58.46938775510204,77,19994362.0,0.12625118974036975,1.210338994562567,-8.710099424385142,-51
Canada,边缘脉冲市场,79.6923076923077,2,边缘脉冲市场,57.04081632653061,85,538115318.0,-0.020165419061461097,-0.5262902402640767,-22.651491365777083,-83
Cabo Verde,高增长机会市场,41.48717948717949,135,高增长机会市场,39.464285714285715,143,161972.0,1.1292436836792357,0.4263699898747932,-2.0228937728937737,-8
Cayman Isds,高增长机会市场,60.94871794871795,55,常规培育市场,7.704081632653061,193,639507.0,-1.5759911512741924,-1.6375895807239014,-53.244636316064884,-138
Central African Rep.,低活跃回落市场,41.30769230769231,137,低基数暴增市场,31.352040816326532,169,4691155.0,-0.265777538882859,-0.2486325862181062,-9.955651491365774,-32
Sri Lanka,低基数暴增市场,43.94871794871794,128,低基数暴增市场,61.454081632653065,61,10341816.0,0.5866925407221545,0.4019472015359778,17.505363683935123,67
Chad,成熟核心市场,61.00000000000001,53,低基数暴增市场,52.60204081632653,101,13587494.0,0.7265114198237985,-0.38927060427772775,-8.397959183673478,-48
Chile,边缘脉冲市场,67.02564102564102,27,边缘脉冲市场,71.47959183673468,19,440992697.0,0.26200763036537733,0.7804917594814501,4.453950811093662,8
Colombia,边缘脉冲市场,56.717948717948715,78,边缘脉冲市场,61.76020408163265,58,37620656.0,-0.011384335431642198,0.4007456967257562,5.042255363683935,20
Comoros,高增长机会市场,44.66666666666667,126,低活跃回落市场,35.86734693877551,157,1769636.0,1.9992903754343343,-1.0830837528169635,-8.79931972789116,-31
Congo,低活跃回落市场,23.25641025641026,184,低基数暴增市场,40.255102040816325,139,2625716.0,1.02093164863087,-0.5792263900589402,16.998691784406066,45
Dem. Rep. of the Congo,边缘脉冲市场,63.051282051282044,46,成熟核心市场,60.76530612244898,66,26547467.0,0.2932692216324901,0.8362871681882117,-2.2859759288330608,-20
Cook Isds,低活跃回落市场,25.78205128205128,183,常规培育市场,10.484693877551019,192,2615.0,-0.1102077687443541,-0.875717017208413,-15.297357404500262,-9
Costa Rica,低基数暴增市场,50.948717948717956,105,低基数暴增市场,52.90816326530613,99,4781019.0,0.24538546589508559,0.62310273186532,1.9594453165881731,6
Croatia,低基数暴增市场,55.53846153846153,84,边缘脉冲市场,62.295918367346935,56,14542584.0,0.17988386161516132,0.3370218112544511,6.7574568288854024,28
Cuba,低基数暴增市场,34.02564102564102,161,成熟核心市场,55.969387755102034,90,4590369.0,0.8987604059264466,1.863894166242409,21.94374672946101,71
Cyprus,低基数暴增市场,47.07692307692308,116,低基数暴增市场,50.73979591836735,111,2043927.0,0.5235084193000965,-0.009527737536614567,3.662872841444269,5
Czechia,边缘脉冲市场,59.92307692307692,59,边缘脉冲市场,65.4591836734694,38,546515157.0,-0.15333285803951094,0.4712261145942929,5.536106750392477,21
Benin,低基数暴增市场,57.92307692307692,71,低基数暴增市场,36.98979591836735,153,5816084.0,-0.7983054823059701,0.03084205798953385,-20.93328100470957,-82
Denmark,边缘脉冲市场,49.51282051282051,110,边缘脉冲市场,69.48979591836735,21,71759558.0,0.6222145216730234,0.3536157232183621,19.97697540554684,89
Dominica,成熟核心市场,36.84615384615384,152,高增长机会市场,52.06632653061225,104,1257534.0,1.3334212502178593,1.8166888529455267,15.220172684458412,48
Dominican Rep.,成熟核心市场,69.0,20,成熟核心市场,61.65816326530613,60,23300139.0,0.1672559071672167,1.2585623630828984,-7.341836734693871,-40
Ecuador,成熟核心市场,58.69230769230769,68,成熟核心市场,64.82142857142857,43,8008229.0,0.7921546463569491,0.9904119874693893,6.129120879120876,25
El Salvador,低基数暴增市场,36.64102564102564,153,低基数暴增市场,39.71938775510204,142,2253045.0,0.1699442716854655,-0.47897578610280755,3.0783621140763984,11
Equatorial Guinea,低活跃回落市场,22.615384615384613,187,常规培育市场,1.505102040816327,197,5313.0,-1.975033833314537,-1.735742518351214,-21.110282574568288,-10
Ethiopia,低基数暴增市场,61.02564102564102,52,低基数暴增市场,57.091836734693885,83,27546946.0,0.1118465551532785,0.4902895587772234,-3.933804290947137,-31
Eritrea,低活跃回落市场,31.897435897435898,166,常规培育市场,33.08673469387756,165,1536860.0,-0.6243598651535037,1.8920656403315852,1.189298796441662,1
Estonia,低基数暴增市场,45.48717948717949,120,成熟核心市场,69.10714285714286,23,16160329.0,0.8079597086835864,0.7643857993237637,23.619963369963372,97
Fiji,成熟核心市场,50.794871794871796,107,低基数暴增市场,36.93877551020409,154,1658628.0,0.36363461470634445,-0.317194693445426,-13.856096284667707,-47
Finland,边缘脉冲市场,71.33333333333334,12,边缘脉冲市场,71.53061224489797,17,708122878.0,0.3075126897020319,0.09271105063773974,0.19727891156462363,-5
France,边缘脉冲市场,56.92307692307692,76,边缘脉冲市场,81.19897959183673,1,972602996.0,1.0347597821623937,0.324647648936504,24.275902668759812,75
French Polynesia,低基数暴增市场,46.05128205128206,118,低基数暴增市场,48.13775510204082,114,7492319.0,1.3110451267574263,-1.046817413940864,2.0864730507587623,4
Djibouti,低基数暴增市场,52.92307692307692,95,低基数暴增市场,44.51530612244898,126,5080608.0,-0.5680577696997967,0.8027432937160277,-8.407770800627937,-31
Gabon,高增长机会市场,52.56410256410257,98,成熟核心市场,44.923469387755105,124,2029572.0,0.24864263583197657,1.6946508919121863,-7.640633176347464,-26
Gambia,成熟核心市场,55.743589743589745,83,低基数暴增市场,31.83673469387755,168,1666977.0,-0.3925710106258597,0.22546081919546582,-23.906855049712195,-85
State of Palestine,成熟核心市场,45.102564102564095,123,成熟核心市场,41.30102040816327,135,936293.0,0.08853533198937098,1.2031767833359857,-3.801543694400827,-12
Germany,边缘脉冲市场,65.97435897435898,30,边缘脉冲市场,68.46938775510203,26,10254026944.0,0.09378287921000121,0.026680055893560952,2.4950287807430556,4
Ghana,低基数暴增市场,34.02564102564103,160,成熟核心市场,67.32142857142857,28,28610094.0,0.9504036050699235,0.925503844901733,33.29578754578754,132
Kiribati,低活跃回落市场,40.15384615384615,145,常规培育市场,28.622448979591837,173,603503.0,-0.5906616326175557,1.6865765373163017,-11.531397174254316,-28
Greece,低基数暴增市场,45.358974358974365,121,边缘脉冲市场,52.52551020408164,102,39711340.0,-0.07373515797476264,-0.14973939433924918,7.166535845107276,19
Grenada,低活跃回落市场,30.974358974358978,170,低基数暴增市场,23.622448979591837,179,328983.0,0.07337217693270015,-0.3682682691810823,-7.351909994767141,-9
Guatemala,成熟核心市场,63.74358974358975,42,低基数暴增市场,51.60714285714286,107,5051684.0,-0.10027219101355991,0.6586936158318691,-12.13644688644689,-65
Guinea,成熟核心市场,47.07692307692308,116,成熟核心市场,63.9030612244898,48,9119939.0,0.4886399443981725,0.8674937409120829,16.826138147566716,68
Guyana,成熟核心市场,41.76923076923077,134,低基数暴增市场,43.392857142857146,127,3996333.0,0.9862474810773731,-0.7943557256114543,1.6236263736263794,7
Haiti,低基数暴增市场,33.66666666666667,163,低基数暴增市场,48.06122448979591,115,5829475.0,0.24257541627467752,0.2666590044558043,14.39455782312924,48
Honduras,成熟核心市场,59.56410256410257,63,成熟核心市场,58.97959183673469,74,7072441.0,0.5585404639398796,0.71196719774686,-0.5845107273678778,-11
"China, Hong Kong SAR",边缘脉冲市场,61.82051282051282,50,边缘脉冲市场,65.66326530612245,37,1167691542.0,-0.08699595140076719,0.10729121818028892,3.842752485609637,13
Hungary,边缘脉冲市场,56.15384615384616,80,边缘脉冲市场,74.66836734693878,8,734234463.0,0.31641611172781553,0.31380035344377455,18.51452119309262,72
Iceland,低基数暴增市场,31.17948717948718,169,低基数暴增市场,39.336734693877546,146,1095785.0,0.42917219027519765,-0.044065213522725716,8.157247514390367,23
Indonesia,边缘脉冲市场,62.38461538461539,48,边缘脉冲市场,66.76020408163265,30,439934833.0,0.1866604820073582,-0.03858372814957346,4.375588697017264,18
Iran,成熟核心市场,63.51282051282051,45,低基数暴增市场,55.357142857142854,92,25529245.0,0.7471126755183055,-0.29688860755576596,-8.155677655677657,-47
Iraq,成熟核心市场,61.0,54,成熟核心市场,73.57142857142857,11,41527908.0,0.9626736219640987,0.8164161796929429,12.57142857142857,43
Ireland,边缘脉冲市场,54.02564102564102,91,边缘脉冲市场,58.443877551020414,78,37425870.0,0.08105060224510252,0.10370548500275344,4.418236525379392,13
Israel,边缘脉冲市场,70.76923076923076,15,边缘脉冲市场,56.70918367346939,86,290245295.0,0.12851437445175198,-0.4999457372771538,-14.06004709576137,-71
Italy,边缘脉冲市场,77.87179487179488,4,边缘脉冲市场,42.984693877551024,129,667665780.0,-0.84203289807463,-0.844184927374891,-34.88710099424385,-125
Côte d'Ivoire,低基数暴增市场,38.56410256410257,147,成熟核心市场,65.71428571428572,36,19963323.0,0.8556895220648978,0.7983964393102291,27.150183150183153,111
Jamaica,低基数暴增市场,51.58974358974359,103,边缘脉冲市场,64.74489795918366,44,15436726.0,0.3741449381460978,0.5515796549086899,13.15515436944007,59
Japan,边缘脉冲市场,75.56410256410257,6,边缘脉冲市场,64.33673469387755,47,2327215411.0,-0.041640438392260545,-0.05170291904705851,-11.227367870225024,-41
Kazakhstan,低基数暴增市场,52.282051282051285,99,低基数暴增市场,56.224489795918366,88,17947541.0,0.10319420828688265,0.3234545612683097,3.9424385138670814,11
Jordan,成熟核心市场,69.92307692307692,18,边缘脉冲市场,66.17346938775509,35,36751296.0,0.28496244633441997,0.716322711449414,-3.7496075353218288,-17
Kenya,边缘脉冲市场,67.6923076923077,24,边缘脉冲市场,66.63265306122449,32,44079398.0,0.24623073780196417,0.23320527199577454,-1.0596546310832053,-8
Rep. of Korea,边缘脉冲市场,71.12820512820512,13,边缘脉冲市场,58.59693877551021,75,3788155735.0,-0.6980700812477344,-0.0378469989170073,-12.531266352694914,-62
Kuwait,低基数暴增市场,50.15384615384616,108,低基数暴增市场,53.62244897959184,95,4862212.0,0.2757667155312668,0.07822612424139466,3.468602825745677,13
Kyrgyzstan,低基数暴增市场,28.07692307692308,177,成熟核心市场,60.204081632653065,68,4311378.0,0.3075728693686256,1.2567508578463777,32.127158555729984,109
Lao People's Dem. Rep.,成熟核心市场,54.38461538461539,90,低基数暴增市场,16.93877551020408,189,970998.0,-0.5925301026686902,-0.6981559179318598,-37.445839874411305,-99
Lebanon,边缘脉冲市场,51.64102564102565,102,边缘脉冲市场,56.14795918367347,89,44129527.0,-0.36967593553822403,0.16645476394976996,4.506933542647822,13
Lesotho,常规培育市场,21.935897435897434,188,高增长机会市场,52.37244897959184,103,1577600.0,1.8772483235496877,1.152550709939148,30.436551543694403,85
Latvia,低基数暴增市场,48.871794871794876,112,成熟核心市场,73.08673469387756,13,46507639.0,1.892111485824549,1.6276001884335602,24.214939822082684,99
Liberia,成熟核心市场,59.02564102564102,67,低基数暴增市场,38.87755102040817,148,1992726.0,-0.06641182746295912,0.09619586435867249,-20.148090005232852,-81
Libya,成熟核心市场,56.871794871794876,77,低基数暴增市场,46.53061224489796,120,8492317.0,-0.11479508180117591,0.4495802500071535,-10.341182626896916,-43
Lithuania,边缘脉冲市场,60.17948717948718,58,低基数暴增市场,53.62244897959184,95,15132558.0,-0.02905448443577676,0.2336641300168815,-6.557038199895345,-37
Luxembourg,低基数暴增市场,30.102564102564106,173,低基数暴增市场,18.622448979591837,187,370070.0,-0.5836050766239532,-0.8310643932229038,-11.480115122972268,-14
"China, Macao SAR",低基数暴增市场,34.46153846153847,158,成熟核心市场,60.58673469387756,67,2658752.0,1.2463959232501909,1.455418181161688,26.125196232339093,91
Madagascar,成熟核心市场,55.89743589743591,81,低基数暴增市场,54.234693877551024,94,17930727.0,0.8468256363004611,-0.7272980063775439,-1.6627420198848881,-13
Malawi,低基数暴增市场,41.30769230769231,137,低基数暴增市场,34.89795918367347,161,1808585.0,-0.675881735476154,0.08602636868048778,-6.409733124018835,-24
Malaysia,边缘脉冲市场,60.74358974358974,56,边缘脉冲市场,66.45408163265306,33,328871806.0,0.1892247160229274,0.029432428756145792,5.71049188906332,23
Maldives,成熟核心市场,57.84615384615385,72,成熟核心市场,55.816326530612244,91,5964736.0,0.7306570565258439,1.6090294692003133,-2.0298273155416027,-19
Mali,成熟核心市场,64.61538461538463,35,边缘脉冲市场,71.53061224489795,18,57905196.0,1.3133212572943032,0.12784904484219345,6.915227629513325,17
Malta,成熟核心市场,49.8974358974359,109,低基数暴增市场,29.61734693877551,172,424435.0,-0.23638363803138637,-0.12128594484432245,-20.28008895866039,-63
Mauritania,成熟核心市场,64.82051282051282,33,低基数暴增市场,28.46938775510204,174,4872430.0,-0.4351299033468066,-0.9583480932512114,-36.35112506541078,-141
Mauritius,低基数暴增市场,34.25641025641026,159,低基数暴增市场,38.80102040816327,149,4488348.0,0.14800641049799806,-0.46903047624649424,4.544610151753005,10
Mexico,边缘脉冲市场,72.35897435897436,10,边缘脉冲市场,60.127551020408156,69,581774782.0,-0.22167948864179288,-0.04393182515085365,-12.23142333856621,-59
Mongolia,成熟核心市场,74.3846153846154,7,成熟核心市场,65.35714285714286,40,63852471.0,0.19922311532042927,1.8912502540426352,-9.02747252747254,-33
Rep. of Moldova,低活跃回落市场,34.94871794871795,156,低基数暴增市场,35.84183673469388,158,871744.0,-0.31469138147443043,0.8559714778650613,0.8931187859759291,-2
Montenegro,低活跃回落市场,27.128205128205128,182,低基数暴增市场,25.714285714285715,178,41783.0,0.05415237884542114,0.2295191824426202,-1.4139194139194124,4
Morocco,边缘脉冲市场,64.41025641025642,37,低基数暴增市场,42.6530612244898,130,33043099.0,-0.21382581061810155,-0.9635411618020453,-21.757195185766626,-93
Mozambique,低基数暴增市场,48.82051282051282,114,边缘脉冲市场,63.54591836734694,50,20212467.0,0.1651934132807423,0.7536529806084532,14.725405546834125,64
Oman,低基数暴增市场,43.0,130,成熟核心市场,66.68367346938776,31,8889822.0,0.592931247882628,1.2052794757870293,23.683673469387756,99
Namibia,低基数暴增市场,49.282051282051285,111,低基数暴增市场,43.061224489795926,128,5458389.0,0.19224031153458737,-0.04533242317467663,-6.220826792255359,-17
Nepal,低基数暴增市场,36.41025641025641,154,低基数暴增市场,45.25510204081633,123,4795398.0,0.1680393994328527,-0.24614766073639768,8.844845630559924,31
Netherlands,边缘脉冲市场,63.82051282051283,41,边缘脉冲市场,65.02551020408163,41,2407019653.0,-0.4077795656094267,0.23436665392278788,1.204997383568795,0
Curaçao,低基数暴增市场,39.641025641025635,146,成熟核心市场,64.66836734693878,46,6846330.0,1.6228290729925714,1.8378354534473214,25.027341705913145,100
Aruba,成熟核心市场,41.46153846153847,136,低基数暴增市场,34.46428571428571,162,262227.0,0.30160973212091424,0.07987735816677917,-6.997252747252759,-26
New Caledonia,低活跃回落市场,48.30769230769231,115,低基数暴增市场,32.5765306122449,166,1075909.0,-1.5572438775095536,0.18688383497117322,-15.731161695447405,-51
Vanuatu,成熟核心市场,41.205128205128204,140,成熟核心市场,52.04081632653062,105,896192.0,0.5838474933976081,1.0079179461543954,10.835688121402413,35
New Zealand,边缘脉冲市场,56.56410256410257,79,边缘脉冲市场,58.290816326530624,80,83120484.0,0.8578062627675671,-1.0675790578890276,1.726713762428055,-1
Nicaragua,成熟核心市场,53.41025641025641,93,低基数暴增市场,40.22959183673469,140,2683688.0,-0.16577567610284538,0.07655286307499233,-13.180664573521717,-47
Niger,常规培育市场,17.076923076923077,192,成熟核心市场,41.4795918367347,134,1124151.0,0.11199589681542903,0.8395473561825769,24.402668759811622,58
Nigeria,边缘脉冲市场,72.23076923076923,11,边缘脉冲市场,73.29081632653062,12,292523323.0,0.5605465043307786,0.3668756149060976,1.0600470957613908,-1
Norway,边缘脉冲市场,55.43589743589743,86,边缘脉冲市场,60.91836734693878,65,47039485.0,-0.012765963918549042,0.34509072537677654,5.482469911041349,21
FS Micronesia,低活跃回落市场,32.03846153846154,165,常规培育市场,35.12755102040816,159,437289.0,-0.021529360532521958,1.7769529990463973,3.0890894819466226,6
Marshall Isds,高增长机会市场,30.76923076923077,171,常规培育市场,22.295918367346935,182,4104.0,-1.2376706603510728,1.7923976608187135,-8.473312401883835,-11
Pakistan,边缘脉冲市场,63.61538461538461,44,边缘脉冲市场,66.3265306122449,34,147114871.0,0.5213871585192946,-0.2816215500063213,2.7111459968602816,10
Panama,边缘脉冲市场,68.05128205128204,22,边缘脉冲市场,62.066326530612244,57,51771591.0,0.26485078200243095,-0.00984134329578552,-5.9849555206698,-35
Papua New Guinea,成熟核心市场,50.8974358974359,106,低基数暴增市场,29.872448979591834,171,3024010.0,-0.27835968186765475,-0.3922169569545074,-21.024986917844064,-65
Paraguay,低基数暴增市场,44.74358974358975,125,低基数暴增市场,47.62755102040817,116,4618752.0,-0.14397279663044057,0.3632028738499058,2.883961276818418,9
Peru,边缘脉冲市场,62.33333333333334,49,低基数暴增市场,50.76530612244898,110,30173767.0,-0.44444164624391996,0.061717650301999084,-11.56802721088436,-61
Philippines,边缘脉冲市场,64.2051282051282,39,边缘脉冲市场,64.97448979591837,42,141528229.0,0.06387759205089633,0.6238192240786112,0.7693615907901687,-3
Poland,边缘脉冲市场,59.282051282051285,66,边缘脉冲市场,61.27551020408164,62,679459457.0,-0.5278235642820539,0.2637186724740811,1.9934589220303565,4
Portugal,边缘脉冲市场,59.871794871794876,61,低基数暴增市场,46.93877551020408,117,44546259.0,-0.4053344342401839,-0.4132978708717156,-12.933019361590794,-56
Guinea-Bissau,常规培育市场,15.179487179487179,194,高增长机会市场,53.494897959183675,97,1386295.0,1.6421998041354868,1.6684370931151018,38.31541077969649,97
Timor-Leste,低活跃回落市场,15.512820512820511,193,低基数暴增市场,12.091836734693878,190,119842.0,-0.4260723385253868,-1.2267485522604762,-3.420983778126633,3
Qatar,低基数暴增市场,37.69230769230769,149,低基数暴增市场,46.4030612244898,122,2949276.0,0.15012779086295786,-0.05623481830795083,8.710753532182103,27
Romania,低基数暴增市场,43.17948717948718,129,边缘脉冲市场,77.62755102040815,4,142004192.0,1.316463452767081,0.43980701640131864,34.448063840920966,125
Russian Federation,边缘脉冲市场,68.74358974358974,21,边缘脉冲市场,63.06122448979592,54,326426376.0,0.034963622883658445,0.10735386162544659,-5.682365253793819,-33
Rwanda,低活跃回落市场,42.692307692307686,132,低基数暴增市场,34.97448979591837,160,3418235.0,-0.06050243321271884,-0.43702144527804554,-7.717817896389313,-28
Saint Kitts and Nevis,低活跃回落市场,27.58974358974359,180,常规培育市场,30.969387755102044,170,71230.0,-0.06190055098292633,2.0,3.379644165358453,10
Saint Lucia,成熟核心市场,31.48717948717949,168,成熟核心市场,37.70408163265306,151,129147.0,0.07571763798257738,1.3233756881692955,6.2169021454735685,17
Saint Vincent and the Grenadines,常规培育市场,21.564102564102566,189,高增长机会市场,42.24489795918367,131,196495.0,0.8159315560746492,0.8913916384640831,20.680795395081102,58
San Marino,低活跃回落市场,27.55128205128205,181,常规培育市场,21.466836734693878,184,4650.0,-1.3059701492537314,2.0,-6.084445316588173,-3
Sao Tome and Principe,低活跃回落市场,27.679487179487182,179,常规培育市场,3.0102040816326543,195,920.0,-1.9100684261974585,-0.9260869565217391,-24.669283097854528,-16
Saudi Arabia,边缘脉冲市场,58.38461538461539,69,边缘脉冲市场,75.0765306122449,6,688258730.0,0.9017671605313353,0.7163860718483004,16.691915227629508,63
Senegal,低基数暴增市场,53.15384615384616,94,成熟核心市场,72.55102040816327,15,22876993.0,1.0797258777926515,0.9881019765141337,19.397174254317108,79
Serbia,低基数暴增市场,41.769230769230774,133,成熟核心市场,73.62244897959184,10,36997999.0,1.8187797100357281,1.5905819663382337,31.853218210361064,123
Seychelles,常规培育市场,22.923076923076923,185,成熟核心市场,41.173469387755105,136,105255.0,0.7906514303894795,0.5191012303453517,18.250392464678182,49
Sierra Leone,低基数暴增市场,22.71794871794872,186,成熟核心市场,64.71938775510203,45,8251574.0,1.3590830190645538,0.45565900517889074,42.00143903715332,141
India,边缘脉冲市场,67.87179487179488,23,边缘脉冲市场,68.46938775510203,26,2158380442.0,-0.019506405377967512,0.18985313062802484,0.5975928833071578,-3
Singapore,边缘脉冲市场,59.61538461538461,62,边缘脉冲市场,63.494897959183675,51,150141136.0,0.1480406112804628,0.021613796767862473,3.8795133437990614,11
Slovakia,边缘脉冲市场,60.230769230769226,57,边缘脉冲市场,59.28571428571429,73,447276000.0,-0.8576941019419699,0.6773334138205492,-0.9450549450549346,-16
Viet Nam,边缘脉冲市场,72.43589743589743,9,边缘脉冲市场,69.26020408163265,22,3709583575.0,0.12163257112076045,0.06972614924843687,-3.17569335426478,-13
Slovenia,边缘脉冲市场,59.30769230769231,65,边缘脉冲市场,62.39795918367347,55,371241729.0,0.2305929292342011,-0.15613714049909513,3.0902668759811647,10
Somalia,成熟核心市场,55.12820512820513,88,低基数暴增市场,33.8265306122449,163,3685855.0,-0.42811515767497316,-0.07485970012385186,-21.30167451596023,-75
South Africa,边缘脉冲市场,66.35897435897435,29,边缘脉冲市场,53.443877551020414,98,419252392.0,-1.1995847341379686,0.2011469024606066,-12.915096807953937,-69
Zimbabwe,成熟核心市场,71.07692307692307,14,边缘脉冲市场,59.66836734693879,71,36872694.0,-0.06332379212258438,0.600937593548223,-11.408555729984279,-57
Spain,边缘脉冲市场,66.66666666666666,28,边缘脉冲市场,59.38775510204081,72,1170299687.0,-0.4574797474709407,0.10341717369014386,-7.278911564625844,-44
South Sudan,低活跃回落市场,28.0,178,低活跃回落市场,40.05102040816326,141,5081968.0,1.0127202569068618,-1.344871120794149,12.05102040816326,37
Sudan,低基数暴增市场,33.8974358974359,162,常规培育市场,28.34183673469388,175,3747528.0,-0.4330384526772786,0.16331832610723657,-5.555599162742016,-13
Suriname,常规培育市场,28.179487179487182,176,成熟核心市场,35.892857142857146,156,676565.0,-0.07553065379448841,1.3358332163206788,7.7133699633699635,20
Eswatini,常规培育市场,10.205128205128203,195,常规培育市场,21.3265306122449,185,209594.0,-0.2716925899584609,0.22514003263452198,11.121402407116696,10
Sweden,边缘脉冲市场,63.74358974358975,42,边缘脉冲市场,63.494897959183675,51,144352878.0,0.07223206931527601,0.30480018555639743,-0.24869178440607698,-9
Switzerland,边缘脉冲市场,54.0,92,边缘脉冲市场,58.571428571428584,76,46866348.0,0.05983027205459226,0.06843042261368434,4.571428571428584,16
Syria,低基数暴增市场,45.333333333333336,122,低基数暴增市场,48.69897959183674,113,2860345.0,0.4289624783298566,0.08516944634301107,3.3656462585034035,9
Tajikistan,成熟核心市场,56.97435897435897,75,低基数暴增市场,36.22448979591836,155,3013623.0,-0.41063300345271736,0.31892044890817467,-20.749869178440612,-80
Thailand,边缘脉冲市场,64.07692307692308,40,边缘脉冲市场,71.78571428571429,16,511094884.0,0.41193171391482003,0.07878634918990893,7.708791208791212,24
Togo,低基数暴增市场,41.205128205128204,140,低基数暴增市场,46.70918367346939,118,7070950.0,-0.46874145617848567,0.36311613008153076,5.5040554683411855,22
Tonga,高增长机会市场,41.20512820512821,139,低活跃回落市场,41.58163265306122,133,333114.0,1.968749348448339,0.16209465828515163,0.37650444793300863,6
