destination,market_segment,decision_tier,opportunity_score,size_score,growth_score,momentum_score,stability_score,activity_score
India,成熟核心市场,重点候选,68.56616873553544,96.93877551020408,35.714285714285715,47.42268041237113,97.44897959183673,64.54081632653062
Germany,成熟核心市场,重点候选,68.53460972017673,99.48979591836735,43.36734693877551,31.958762886597935,100.0,64.54081632653062
Ghana,高增长机会市场,重点候选,67.48974332000842,65.3061224489796,84.18367346938776,82.4742268041237,26.0204081632653,64.54081632653062
Brazil,成熟核心市场,重点候选,66.98059120555438,88.77551020408163,51.02040816326531,32.98969072164948,96.93877551020408,64.54081632653062
Oman,高增长机会市场,重点候选,66.86250788975384,51.53061224489795,72.95918367346938,87.62886597938144,61.224489795918366,64.54081632653062
Indonesia,成熟核心市场,重点候选,66.8191142436356,87.24489795918367,54.59183673469388,28.865979381443296,98.46938775510205,64.54081632653062
Kenya,成熟核心市场,重点候选,66.73469387755102,71.42857142857143,58.16326530612245,50.0,95.40816326530611,64.54081632653062
Malaysia,成熟核心市场,重点候选,66.52035556490637,85.71428571428571,55.10204081632652,32.47422680412371,93.87755102040816,64.54081632653062
Pakistan,成熟核心市场,重点候选,66.36755733221123,81.63265306122449,69.89795918367348,20.103092783505154,92.85714285714286,64.54081632653062
Jordan,成熟核心市场,重点候选,66.32179675994108,67.3469387755102,62.244897959183675,72.68041237113401,63.775510204081634,64.54081632653062
Côte d'Ivoire,高增长机会市场,重点候选,65.8710288239007,60.204081632653065,81.63265306122449,76.80412371134021,37.244897959183675,64.54081632653062
"China, Hong Kong SAR",成熟核心市场,重点候选,65.74952661476962,94.89795918367348,30.102040816326532,42.2680412371134,98.9795918367347,64.54081632653062
Czechia,成熟核心市场,重点候选,65.59173153797602,90.3061224489796,26.02040816326531,64.94845360824742,83.6734693877551,64.54081632653062
Mongolia,高增长机会市场,重点候选,65.5601725226173,76.53061224489795,56.12244897959183,99.48453608247422,14.795918367346943,64.54081632653062
United Kingdom,成熟核心市场,重点候选,65.47759309909532,96.42857142857143,37.755102040816325,34.02061855670103,92.34693877551021,64.54081632653062
Netherlands,成熟核心市场,重点候选,65.1296549547654,97.95918367346938,19.387755102040817,51.03092783505154,94.89795918367346,64.54081632653062
Philippines,成熟核心市场,重点候选,65.11650536503261,79.08163265306123,40.30612244897959,69.58762886597938,72.95918367346938,64.54081632653062
Ecuador,高增长机会市场,重点候选,64.99289922154429,50.0,79.08163265306123,84.02061855670104,46.42857142857143,64.54081632653062
Jamaica,成熟核心市场,重点候选,64.88375762676203,58.16326530612245,66.3265306122449,68.04123711340206,71.93877551020408,64.54081632653062
Curaçao,高增长机会市场,重点候选,64.86929307805597,47.95918367346938,94.89795918367348,98.4536082474227,4.081632653061234,64.54081632653062
Sierra Leone,高增长机会市场,重点候选,64.85088365243004,50.51020408163265,92.3469387755102,64.43298969072166,48.46938775510205,64.54081632653062
Japan,成熟核心市场,重点候选,64.39143698716599,97.44897959183673,33.6734693877551,26.804123711340207,99.48979591836735,64.54081632653062
Guinea,高增长机会市场,重点候选,64.06716810435515,52.04081632653062,69.38775510204081,80.41237113402062,57.142857142857146,64.54081632653062
Mozambique,成熟核心市场,重点候选,63.69740164106881,61.224489795918366,52.04081632653062,74.22680412371135,73.46938775510205,64.54081632653062
Uruguay,成熟核心市场,重点候选,63.69135282979172,53.57142857142857,66.83673469387756,58.76288659793815,84.6938775510204,64.54081632653062
Sweden,成熟核心市场,重点候选,63.6053545129392,80.10204081632652,40.816326530612244,54.123711340206185,80.61224489795919,64.54081632653062
Uganda,成熟核心市场,重点候选,63.576688407321704,55.10204081632652,81.12244897959184,52.57731958762887,65.3061224489796,64.54081632653062
Singapore,成熟核心市场,重点候选,63.558015989901115,82.14285714285714,50.0,30.927835051546392,91.83673469387755,64.54081632653062
Russian Federation,成熟核心市场,重点候选,63.14853776562171,85.20408163265306,38.265306122448976,42.78350515463917,86.73469387755102,64.54081632653062
Slovenia,成熟核心市场,重点候选,62.44529770671155,86.22448979591837,56.63265306122449,23.195876288659793,75.51020408163265,64.54081632653062
Croatia,成熟核心市场,重点候选,62.41268672417421,56.63265306122449,54.08163265306123,57.21649484536082,93.36734693877551,64.54081632653062
Panama,成熟核心市场,重点候选,62.12734062697243,74.48979591836735,60.71428571428571,29.896907216494846,81.12244897959184,64.54081632653062
Colombia,成熟核心市场,重点候选,61.88538817588891,69.38775510204081,36.734693877551024,61.34020618556701,87.75510204081633,64.54081632653062
Dominican Rep.,高增长机会市场,重点候选,61.840153587208086,63.26530612244898,52.55102040816326,89.17525773195877,36.224489795918366,64.54081632653062
United Rep. of Tanzania,成熟核心市场,重点候选,61.77519461392805,62.244897959183675,61.73469387755102,44.84536082474227,81.63265306122449,64.54081632653062
Poland,成熟核心市场,重点候选,61.38070692194404,91.83673469387756,13.77551020408163,51.546391752577314,90.81632653061224,64.54081632653062
Egypt,成熟核心市场,重点候选,61.338365243004425,70.40816326530613,48.97959183673469,43.29896907216495,85.71428571428572,64.54081632653062
Myanmar,成熟核心市场,重点候选,61.2613086471702,78.57142857142857,65.81632653061224,18.04123711340206,74.48979591836735,64.54081632653062
Norway,成熟核心市场,重点候选,61.03618767094467,73.9795918367347,36.224489795918366,57.73195876288659,78.57142857142857,64.54081632653062
Dem. Rep. of the Congo,高增长机会市场,重点候选,60.92520513359984,64.28571428571429,62.755102040816325,78.35051546391753,25.51020408163265,64.54081632653062
"China, Macao SAR",高增长机会市场,重点候选,60.77293288449401,33.16326530612245,89.79591836734694,91.23711340206185,24.48979591836735,64.54081632653062
Kyrgyzstan,高增长机会市场,重点候选,60.385019987376396,39.285714285714285,64.28571428571429,88.65979381443299,55.61224489795919,64.54081632653062
Mexico,成熟核心市场,重点候选,60.18540921523248,90.81632653061224,24.489795918367346,28.350515463917525,97.95918367346938,64.54081632653062
Bulgaria,成熟核心市场,重点候选,60.15043130654323,77.04081632653062,27.55102040816326,73.71134020618557,59.69387755102041,64.54081632653062
Zimbabwe,成熟核心市场,重点候选,59.80827898169578,67.85714285714286,32.142857142857146,68.55670103092784,75.0,64.54081632653062
Spain,成熟核心市场,重点候选,59.471912476330736,95.40816326530613,15.306122448979592,41.23711340206185,82.14285714285714,64.54081632653062
Slovakia,成熟核心市场,重点候选,59.430885756364404,88.26530612244898,5.612244897959184,71.1340206185567,72.44897959183675,64.54081632653062
Honduras,高增长机会市场,重点候选,59.126867241742055,48.97959183673469,70.91836734693877,72.16494845360825,38.775510204081634,64.54081632653062
Rep. of Korea,成熟核心市场,重点候选,58.65690090469178,98.9795918367347,8.673469387755102,29.381443298969074,96.42857142857143,64.54081632653062
Cameroon,高增长机会市场,重点候选,58.64927414264675,60.71428571428571,47.95918367346938,88.14432989690721,29.081632653061234,64.54081632653062
Switzerland,成熟核心市场,重点候选,58.64401430675364,73.46938775510205,39.795918367346935,35.56701030927835,87.24489795918367,64.54081632653062
Ireland,成熟核心市场,重点候选,58.529086892488955,68.87755102040816,42.3469387755102,41.75257731958763,83.16326530612245,64.54081632653062
Belgium,成熟核心市场,重点候选,58.43125394487693,93.36734693877551,9.693877551020408,43.81443298969072,85.20408163265306,64.54081632653062
Austria,成熟核心市场,重点候选,58.34131075110457,82.6530612244898,8.16326530612245,74.74226804123711,67.34693877551021,64.54081632653062
Belize,高增长机会市场,重点候选,58.1348621922996,21.428571428571427,86.73469387755102,86.08247422680412,42.3469387755102,64.54081632653062
Ethiopia,成熟核心市场,重点候选,57.226488533557756,64.79591836734694,45.91836734693878,65.97938144329896,44.38775510204081,64.54081632653062
Türkiye,成熟核心市场,重点候选,57.177835051546396,84.6938775510204,10.714285714285714,54.63917525773196,78.06122448979592,64.54081632653062
Canada,成熟核心市场,重点候选,57.066063538817595,89.79591836734694,35.204081632653065,12.371134020618557,82.65306122448979,64.54081632653062
Israel,成熟核心市场,重点候选,56.735482852934986,83.16326530612244,48.46938775510204,12.886597938144329,70.91836734693878,64.54081632653062
Kazakhstan,成熟核心市场,重点候选,56.33915421838839,59.693877551020414,44.38775510204081,56.18556701030928,64.28571428571428,64.54081632653062
Lebanon,成熟核心市场,重点候选,56.242636229749635,71.93877551020408,20.918367346938776,46.391752577319586,91.3265306122449,64.54081632653062
Cuba,高增长机会市场,重点候选,56.171365453397854,40.816326530612244,83.16326530612244,98.96907216494846,10.714285714285708,17.346938775510203
Maldives,高增长机会市场,重点候选,56.00568062276457,47.44897959183674,77.04081632653062,92.78350515463917,9.183673469387756,25.765306122448976
Lithuania,成熟核心市场,重点候选,53.72554176309699,57.14285714285714,34.183673469387756,50.51546391752577,76.53061224489795,64.54081632653062
Guinea-Bissau,高增长机会市场,重点候选,53.68740795287187,24.489795918367346,95.40816326530613,94.3298969072165,14.285714285714292,14.795918367346939
South Africa,成熟核心市场,重点候选,53.54171049863245,86.73469387755102,4.591836734693878,47.93814432989691,68.87755102040816,64.54081632653062
Solomon Isds,高增长机会市场,重点候选,52.86608457816116,39.795918367346935,75.51020408163265,79.38144329896907,23.9795918367347,25.765306122448976
Greece,成熟核心市场,重点候选,52.573900694298345,69.89795918367348,31.122448979591837,23.711340206185564,84.18367346938776,64.54081632653062
Dominica,高增长机会市场,重点候选,52.26514832737219,23.46938775510204,91.83673469387756,97.42268041237114,4.591836734693871,20.918367346938776
Vanuatu,高增长机会市场,重点候选,52.21333894382496,19.387755102040817,71.93877551020408,84.5360824742268,33.673469387755105,64.54081632653062
North Macedonia,高增长机会市场,重点候选,52.172838207447924,28.061224489795915,88.77551020408163,89.69072164948454,10.204081632653057,20.918367346938776
Argentina,成熟核心市场,重点候选,51.17162844519252,75.51020408163265,26.53061224489796,36.597938144329895,54.08163265306122,64.54081632653062
Bangladesh,成熟核心市场,重点候选,51.1274458236903,76.0204081632653,28.061224489795915,14.948453608247423,79.08163265306122,64.54081632653062
Peru,成熟核心市场,重点候选,50.836839890595414,65.81632653061224,16.3265306122449,35.051546391752574,90.3061224489796,64.54081632653062
Bahamas,高增长机会市场,重点候选,50.758468335787924,20.408163265306122,73.9795918367347,71.64948453608247,35.71428571428571,64.54081632653062
Portugal,成熟核心市场,重点候选,46.970334525562805,72.44897959183673,19.897959183673468,15.463917525773196,71.42857142857143,64.54081632653062
Botswana,高增长机会市场,重点候选,46.85724805386072,29.081632653061224,44.89795918367347,85.05154639175258,22.959183673469383,64.54081632653062
Gabon,高增长机会市场,重点候选,45.11808331580055,29.591836734693878,58.673469387755105,95.36082474226805,5.102040816326522,17.346938775510203
Italy,成熟核心市场,重点候选,43.00257731958763,91.3265306122449,6.63265306122449,8.762886597938143,38.26530612244898,64.54081632653062
Niger,高增长机会市场,重点候选,41.64054281506417,22.95918367346939,46.42857142857143,78.8659793814433,39.28571428571429,14.795918367346939
State of Palestine,高增长机会市场,重点候选,41.47880286135072,19.897959183673468,42.857142857142854,87.11340206185567,35.20408163265306,20.918367346938776
Seychelles,高增长机会市场,重点候选,41.31127708815485,5.612244897959184,78.57142857142857,67.5257731958763,31.632653061224488,17.346938775510203
Saint Lucia,高增长机会市场,重点候选,37.888175888912265,6.63265306122449,41.83673469387755,90.20618556701031,32.14285714285714,25.765306122448976
Suriname,高增长机会市场,重点候选,36.07800336629498,17.857142857142858,30.612244897959183,90.72164948453609,18.877551020408163,20.918367346938776
